Gmt time,Open,High,Low,Close,Volume
03.03.2022 00:00:00.000,1.33957,1.34176,1.33173,1.33500,111797.9688
04.03.2022 00:00:00.000,1.33497,1.33519,1.32019,1.32249,131893.5469
05.03.2022 00:00:00.000,1.32249,1.32249,1.32249,1.32249,0
06.03.2022 00:00:00.000,1.32241,1.32419,1.32006,1.32111,8531.6201
07.03.2022 00:00:00.000,1.32112,1.32281,1.31015,1.31127,194620.5469
08.03.2022 00:00:00.000,1.31129,1.31444,1.30817,1.30981,182502.6563
09.03.2022 00:00:00.000,1.30980,1.31896,1.30977,1.31843,120385.9609
10.03.2022 00:00:00.000,1.31843,1.31945,1.30810,1.31018,149366.3281
11.03.2022 00:00:00.000,1.31019,1.31246,1.30271,1.30343,132504.0156
12.03.2022 00:00:00.000,1.30343,1.30343,1.30343,1.30343,0
13.03.2022 00:00:00.000,1.30363,1.30523,1.30287,1.30491,6579.1958
14.03.2022 00:00:00.000,1.30491,1.30790,1.30005,1.30095,106123.0781
15.03.2022 00:00:00.000,1.30094,1.30883,1.30000,1.30437,123656.5078
16.03.2022 00:00:00.000,1.30436,1.31564,1.30356,1.31397,140246.2344
17.03.2022 00:00:00.000,1.31399,1.32106,1.30874,1.31582,113585.9063
18.03.2022 00:00:00.000,1.31587,1.31967,1.31105,1.31758,93757.3828
19.03.2022 00:00:00.000,1.31758,1.31758,1.31758,1.31758,0
20.03.2022 00:00:00.000,1.31677,1.31772,1.31585,1.31589,5102.9702
21.03.2022 00:00:00.000,1.31589,1.32100,1.31265,1.31687,95318.3672
22.03.2022 00:00:00.000,1.31685,1.32735,1.31198,1.32656,123587.3281
23.03.2022 00:00:00.000,1.32658,1.32984,1.31749,1.32049,96366.7578
24.03.2022 00:00:00.000,1.32050,1.32139,1.31567,1.31936,109123.5156
25.03.2022 00:00:00.000,1.31937,1.32246,1.31590,1.31787,114664.9609
26.03.2022 00:00:00.000,1.31787,1.31787,1.31787,1.31787,0
27.03.2022 00:00:00.000,1.31798,1.31866,1.31684,1.31727,4007.2163
28.03.2022 00:00:00.000,1.31726,1.31764,1.30665,1.30986,117208.8984
29.03.2022 00:00:00.000,1.30985,1.31592,1.30506,1.30924,172025.375
30.03.2022 00:00:00.000,1.30925,1.31823,1.30881,1.31369,137495.3906
31.03.2022 00:00:00.000,1.31369,1.31754,1.31060,1.31451,157205.7813
01.04.2022 00:00:00.000,1.31450,1.31467,1.30862,1.31112,100943.4922
02.04.2022 00:00:00.000,1.31112,1.31112,1.31112,1.31112,0
03.04.2022 00:00:00.000,1.30894,1.31158,1.30893,1.31039,2558.7781
04.04.2022 00:00:00.000,1.31042,1.31367,1.30927,1.31123,99946.6406
05.04.2022 00:00:00.000,1.31122,1.31666,1.30665,1.30763,116411.0625
06.04.2022 00:00:00.000,1.30764,1.31078,1.30452,1.30688,120302.6328
07.04.2022 00:00:00.000,1.30689,1.31063,1.30516,1.30684,103664.5313
08.04.2022 00:00:00.000,1.30684,1.30769,1.29816,1.30305,82323.9297
09.04.2022 00:00:00.000,1.30305,1.30305,1.30305,1.30305,0
10.04.2022 00:00:00.000,1.30230,1.30394,1.30230,1.30295,3496.9851
11.04.2022 00:00:00.000,1.30294,1.30566,1.29885,1.30223,106040.2188
12.04.2022 00:00:00.000,1.30224,1.30535,1.29937,1.30014,114767.1719
13.04.2022 00:00:00.000,1.30015,1.31229,1.29728,1.31182,95882.7734
14.04.2022 00:00:00.000,1.31184,1.31471,1.30332,1.30639,134983.3438
15.04.2022 00:00:00.000,1.30638,1.30740,1.30435,1.30538,213553.2656
16.04.2022 00:00:00.000,1.30538,1.30538,1.30538,1.30538,0
17.04.2022 00:00:00.000,1.30439,1.30641,1.30439,1.30566,4056.9446
18.04.2022 00:00:00.000,1.30566,1.30576,1.30007,1.30073,73730.5
19.04.2022 00:00:00.000,1.30077,1.30405,1.29804,1.30135,97615.2969
20.04.2022 00:00:00.000,1.30135,1.30734,1.29961,1.30678,111229.5
